Time;Open;High;Low;Last;Change;Volume;Open Int
9/11/20;10,5;10,535;10,32;10,497;-0,019;0;0
9/10/20;10,85;10,95;10,425;10,516;-0,218;13410;109626
9/9/20;10,65;10,985;10,55;10,734;-0,068;22536;111925
9/8/20;11,325;11,5;10,735;10,802;-0,43;20424;113977
9/7/20;11,5;11,685;11,165;11,232;-0,45;27625;116462
9/4/20;11,885;12,2;11,65;11,682;-0,051;19075;115380
9/3/20;11,1;11,875;11,1;11,733;0,623;39144;110124
9/2/20;11,375;11,45;10,855;11,11;-0,187;35183;110217
9/1/20;11;11,845;11;11,297;0,058;29482;106490
8/31/20;11,3;11,625;11,09;11,239;0,07;23539;107207
8/28/20;10,525;11,38;10,525;11,169;0,911;5700;106312
8/27/20;10,675;10,765;10,15;10,258;-0,379;27802;106963
8/26/20;10,4;11;10,35;10,637;0,311;30542;113384
8/25/20;10,025;10,42;9,830001;10,326;0,438;30400;116644
8/24/20;9,475;10,04;9,455001;9,888;0,658;16926;114866
8/21/20;9,56;9,7;9,150001;9,23;-0,482001;12535;115086
8/20/20;9,75;9,900001;9,655001;9,712001;-0,130999;16060;117594
8/19/20;10,095;10,325;9,72;9,843;-0,118;14200;117779
8/18/20;9,7;10,2;9,63;9,961;0,341;18954;114817
8/17/20;9,85;9,875;9,5;9,62;0,121;19181;110297
8/14/20;9;9,75;8,88;9,499;0,558999;13235;108672
8/13/20;8,835;9,1;8,805;8,940001;0,308001;21375;105197
8/12/20;8,645;9,05;8,5;8,632;-0,276;8814;106028
8/11/20;8,925;9,335;8,875;8,908;-0,109;19001;101977
8/10/20;9,35;9,585;8,940001;9,017;-0,230001;13307;101729
8/7/20;9,055;9,63;8,975;9,247001;-0,028999;14075;98666
8/6/20;8,900001;9,325;8,900001;9,276;0,392;26570;94274
8/5/20;8,695;8,98;8,695;8,884;0,042;25171;97746
8/4/20;8,7;9,035;8,605;8,842;0,476;11888;97264
8/3/20;7,845;8,605;7,845;8,366;0,694;28055;99926
7/31/20;7,665;7,74;7,6;7,672;0,027999;15025;103497
7/30/20;7,625;7,82;7,565;7,644001;0,018001;3285;103512
7/29/20;7,625;7,75;7,565;7,626;0,176;9020;103068
7/28/20;7,285;7,515;7,245;7,45;0,18;5365;104043
7/27/20;7,3;7,365;7,225;7,27;-0,119;4435;104373
7/24/20;7,33;7,425;7,315;7,389;-0,039;11547;103994
7/23/20;7,375;7,56;7,375;7,428;0,064;7871;104864
7/22/20;7,255001;7,425;7,23;7,364;0,079;7403;105521
7/21/20;7,265;7,335;7,25;7,285;0,127;7634;104297
7/20/20;7,455;7,49;7,08;7,158;-0,56;5332;104241
7/17/20;7,765;7,855;7,685;7,718;0,007;10588;104136
7/16/20;7,65;7,76;7,630001;7,711;-0,14;5860;104521
7/15/20;8,01;8,075;7,705;7,851;-0,069;7885;104613
7/14/20;8,16;8,190001;7,845;7,92;-0,234;6830;104833
7/13/20;8,455001;8,475;8,115001;8,154;-0,201;7054;106442
7/10/20;8,345;8,375;8,240001;8,355;-0,109;11453;102877
7/9/20;8,47;8,64;8,43;8,464;-0,106;6155;101277
7/8/20;8,575;8,725;8,5;8,57;-0,079;5070;100602
7/7/20;8,64;8,925;8,625;8,649;0,031;7428;100582
7/6/20;8,585;8,655001;8,545;8,618;0,215;7050;100452
7/3/20;8,190001;8,455001;8,190001;8,403;0,186;9817;100008
7/2/20;8,065001;8,325;8,05;8,217;0,112;12308;98591
7/1/20;8,185;8,29;8,05;8,105;-0,098;9522;97468
6/30/20;8,25;8,42;8,150001;8,203;-0,047;7419;97269
6/29/20;7,95;8,29;7,945;8,25;0,385;13030;94099
6/26/20;7,8;7,9;7,76;7,865;-0,021;5772;94137
6/25/20;8,025001;8,05;7,875;7,886;-0,264001;6230;93101
6/24/20;8,365001;8,395;8,150001;8,150001;-0,269999;10318;89333
